Link,Date,Detail
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/payals-wedding-preparations/1000007604,6 Jun 2011,Payal's wedding preparations are under way. She is worried about the dowry her fiance's parents are  ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/drama-at-payals-wedding/1000007605,7 Jun 2011,"Arnav accuses Khushi of deliberately disrupting the show. Khushi pleads innocence. Meanwhile, Payal' ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/the-family-visits-a-holy-shrine/1000007606,8 Jun 2011,Khushi tries to deal with her guilt by preparing sweets. Their friends comfort them. Khushi and her  ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/embarassing-coverage-of-khushi/1000007607,9 Jun 2011,Garima and Khushi have an emotional connect. Madhumati is shocked to see the footage on TV where Khu ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-reaches-arnavs-office/1000007608,10 Jun 2011,Khushi is deeply disturbed and embarrassed. Garima leads her away from such attention. Khushi is bul ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-crashes-into-arnav-again/1000007609,13 Jun 2011,"Khushi, Payal and Buaji reach Delhi and are thrilled by the pace of the city. In a hurry to get Buaj ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-asks-khushi-to-pay/1000007610,14 Jun 2011,"Arnav is not happy to do a puja, despite Anjali asking him to do it. Khushi cannot believe that Arna ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-in-arnavs-house/1000007611,15 Jun 2011,"Anjali is delighted with the designer saris that Khushi shows her. Khushi, mistakenly, leaves the sa ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-dreams-of-taking-revenge/1000007612,16 Jun 2011,Anjali places an order for 200 saris to Khushi. But Manorama threatens to cancel the order. Manorama ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-and-her-job/1000007613,17 Jun 2011,Khushi without informing Madhumita meets Shyam and by coincidence Madhumita reaches the same market. ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/enter-lavanya-kashyap/1000007614,20 Jun 2011,Buaji refuses to let Khushi work for a living. Khushi informs her father about the job offer and man ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-in-a-new-world/1000007615,21 Jun 2011,Khushi feels completely out of place when she goes to meet Lavanya Kashyap at office. She is surpris ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/naniji-acts-suspiciously/1000007616,22 Jun 2011,Khushi is appointed as Lavanya’s new assistant. Her colleagues make fun of her for her Indian attire ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-creates-ruckus-in-office/1000007617,23 Jun 2011,Khushi creates ruckus in office when she lights God's lamp and it starts off the fire alarm and spri ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-meets-arnav-the-boss/1000007618,24 Jun 2011,Lavanya scolds Khushi for not taking her work seriously. Arnav and Khushi are stunned to see each ot ...
